HINT	ANSWER	ISNAME	TYPEIN
Исландский язык	Северогерманская (скандинавская) группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^((СЕВЕРОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)|СКАНДИНАВСК(ИЕ|ИХ|АЯ|ОЙ))(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Норвежский язык	Северогерманская (скандинавская) группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^((СЕВЕРОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)|СКАНДИНАВСК(ИЕ|ИХ|АЯ|ОЙ))(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Шведский язык	Северогерманская (скандинавская) группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^((СЕВЕРОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)|СКАНДИНАВСК(ИЕ|ИХ|АЯ|ОЙ))(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Датский язык	Северогерманская (скандинавская) группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^((СЕВЕРОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)|СКАНДИНАВСК(ИЕ|ИХ|АЯ|ОЙ))(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Фарерский язык	Северогерманская (скандинавская) группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^((СЕВЕРОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)|СКАНДИНАВСК(ИЕ|ИХ|АЯ|ОЙ))(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Готский язык (†)	Восточногерманская группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^(ВОСТОЧНОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Латинский язык (латынь) (†)	Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Французский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Итальянский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Португальский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Испанский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Каталанский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Окситанский (провансальский) язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Галисийский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Сардинский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Сефардский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Румынский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Молдавский язык	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Ретороманские языки	Романские языки<br>Латино-фалискская группа<br>Италийская ветвь<br>Индоевропейская семья	N	r:^(РОМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])(ЛАТИНОФАЛИСКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИТАЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Ирландский язык	Кельтская ветвь<br>Индоевропейская семья	N	r:^(КЕЛЬТСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Шотландский язык	Кельтская ветвь<br>Индоевропейская семья	N	r:^(КЕЛЬТСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Валлийский язык	Кельтская ветвь<br>Индоевропейская семья	N	r:^(КЕЛЬТСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Мэнский язык	Кельтская ветвь<br>Индоевропейская семья	N	r:^(КЕЛЬТСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Бретонский язык	Кельтская ветвь<br>Индоевропейская семья	N	r:^(КЕЛЬТСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Корнский язык	Кельтская ветвь<br>Индоевропейская семья	N	r:^(КЕЛЬТСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Галльский язык (†)	Кельтская ветвь<br>Индоевропейская семья	N	r:^(КЕЛЬТСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Тохарский А (†)	Тохарская ветвь<br>Индоевропейская семья	N	r:^(ТОХАРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Тохарский Б (†)	Тохарская ветвь<br>Индоевропейская семья	N	r:^(ТОХАРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Хеттский язык (†)	Хеттская группа<br>Анатолийская (хетто-лувийская) ветвь<br>Индоевропейская семья	N	r:^(ХЕТТСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(АНАТОЛИЙСК(ИЕ|ИХ|АЯ|ОЙ)|ХЕТТОЛУВИЙСК(ИЕ|ИХ|АЯ|ОЙ))(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Лезгинский язык	Лезгинская ветвь<br>Нахско-дагестанская семья	N	r:^(ЛЕЗГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Агульский язык	Лезгинская ветвь<br>Нахско-дагестанская семья	N	r:^(ЛЕЗГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Табасаранский язык	Лезгинская ветвь<br>Нахско-дагестанская семья	N	r:^(ЛЕЗГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Арчинский язык	Лезгинская ветвь<br>Нахско-дагестанская семья	N	r:^(ЛЕЗГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Рутульский язык	Лезгинская ветвь<br>Нахско-дагестанская семья	N	r:^(ЛЕЗГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Цахурский язык	Лезгинская ветвь<br>Нахско-дагестанская семья	N	r:^(ЛЕЗГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Удинский язык	Лезгинская ветвь<br>Нахско-дагестанская семья	N	r:^(ЛЕЗГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Будухский язык	Лезгинская ветвь<br>Нахско-дагестанская семья	N	r:^(ЛЕЗГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Крызский язык	Лезгинская ветвь<br>Нахско-дагестанская семья	N	r:^(ЛЕЗГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Ингушский язык	Нахская ветвь<br>Нахско-дагестанская семья	N	r:^(НАХСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Чеченский язык	Нахская ветвь<br>Нахско-дагестанская семья	N	r:^(НАХСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Бацбийский язык	Нахская ветвь<br>Нахско-дагестанская семья	N	r:^(НАХСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Акушинский язык	Даргинская ветвь<br>Нахско-дагестанская семья	N	r:^(ДАРГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Кубачинский язык	Даргинская ветвь<br>Нахско-дагестанская семья	N	r:^(ДАРГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Кайтагский язык	Даргинская ветвь<br>Нахско-дагестанская семья	N	r:^(ДАРГИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Аварский язык	Аваро-андийская ветвь<br>Нахско-дагестанская семья	N	r:^(АВАРОАНДИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Хиналугский язык	Нахско-дагестанская семья	N	r:^(НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Лакский язык	Нахско-дагестанская семья	N	r:^(НАХСКОДАГЕСТАНСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Финский язык	Прибалтийско-финская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(ПРИБАЛТИЙСКОФИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
